source_id,source_name,target_id,target_name,relationship,best_confidence,method_count,avg_score
naics:23834,Tile and Terrazzo Contractors,uc:Ss_25_45_88_88,Terrazzo wall tiling systems,semantically_similar,A,2,0.449
naics:238340,Tile and Terrazzo Contractors,uc:Ss_25_45_88_88,Terrazzo wall tiling systems,semantically_similar,A,2,0.449
naics:2361,Residential Building Construction,uc:Co_45_10_74,Residential properties,semantically_similar,A,2,0.447
naics:23611,Residential Building Construction,uc:Co_45_10_74,Residential properties,semantically_similar,A,2,0.447
naics:23822,"Plumbing, Heating, and Air-Conditioning Contractors",uc:Ss_65,Ventilation and air conditioning systems,semantically_similar,A,2,0.444
naics:238220,"Plumbing, Heating, and Air-Conditioning Contractors",uc:Ss_65,Ventilation and air conditioning systems,semantically_similar,A,2,0.444
naics:2371,Utility System Construction,uc:Ac_10_40,Construction,semantically_similar,A,2,0.443
naics:23821,Electrical Contractors and Other Wiring Installation Contractors,uc:Co_70_10,Electrical power generation complexes,semantically_similar,A,2,0.441
naics:238210,Electrical Contractors and Other Wiring Installation Contractors,uc:Co_70_10,Electrical power generation complexes,semantically_similar,A,2,0.441
naics:23811,Poured Concrete Foundation and Structure Contractors,uc:Pr_20_85_13,Concrete base and foundation products,semantically_similar,A,2,0.44
naics:238110,Poured Concrete Foundation and Structure Contractors,uc:Pr_20_85_13,Concrete base and foundation products,semantically_similar,A,2,0.44
naics:23821,Electrical Contractors and Other Wiring Installation Contractors,uc:Ss_70_95,Temporary electrical systems,semantically_similar,A,2,0.439
naics:238210,Electrical Contractors and Other Wiring Installation Contractors,uc:Ss_70_95,Temporary electrical systems,semantically_similar,A,2,0.439
naics:2373,"Highway, Street, and Bridge Construction",uc:Pr_40_10_77_85,Street signs,semantically_similar,A,2,0.435
naics:23731,"Highway, Street, and Bridge Construction",uc:Pr_40_10_77_85,Street signs,semantically_similar,A,2,0.435
naics:237310,"Highway, Street, and Bridge Construction",uc:Pr_40_10_77_85,Street signs,semantically_similar,A,2,0.435
naics:23821,Electrical Contractors and Other Wiring Installation Contractors,uc:Ss_75_50_45,Electrical protection systems,semantically_similar,A,2,0.433
naics:238210,Electrical Contractors and Other Wiring Installation Contractors,uc:Ss_75_50_45,Electrical protection systems,semantically_similar,A,2,0.433
naics:236117,New Housing For-Sale Builders,uc:Pr_40_30_04,Animal housing,semantically_similar,A,2,0.429
naics:23834,Tile and Terrazzo Contractors,uc:Pr_20_31_02_89,Tile adhesives,semantically_similar,A,2,0.425
naics:238340,Tile and Terrazzo Contractors,uc:Pr_20_31_02_89,Tile adhesives,semantically_similar,A,2,0.425
naics:236118,Residential Remodelers,uc:Ss_55_20_14_70,Residential central vacuum systems,semantically_similar,A,2,0.425
naics:23832,Painting and Wall Covering Contractors,uc:Ss_20_70_65,Protective painting systems,semantically_similar,A,2,0.425
naics:238320,Painting and Wall Covering Contractors,uc:Ss_20_70_65,Protective painting systems,semantically_similar,A,2,0.425
naics:23821,Electrical Contractors and Other Wiring Installation Contractors,uc:Pr_40_10_57_23,Electrical diagrams,semantically_similar,A,2,0.424
naics:238210,Electrical Contractors and Other Wiring Installation Contractors,uc:Pr_40_10_57_23,Electrical diagrams,semantically_similar,A,2,0.424
naics:236118,Residential Remodelers,uc:Ss_90_45,Specific demand of residential organizations,semantically_similar,A,2,0.424
naics:236118,Residential Remodelers,uc:Ss_55_30_98_23,Domestic and residential sprinkler systems,semantically_similar,A,2,0.422
